objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
8741,86686.531463315,1290.413982730072,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.836,제16호태풍(산바),0800,20120918,2,2012,908,47,47130
8742,16751.12683037,579.1096749629124,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.429,제16호태풍(산바),0800,20120918,1,2012,906,47,47130
8743,134059.254196075,1498.433097818515,204555,0500,20120917,역류로인한 침수,0.932,제16호태풍(산바),0800,20120918,2,2012,909,47,47130
8744,29782.552542245,792.8207203145265,204555,0500,20120917,역류로인한 침수,1.375,제16호태풍(산바),0800,20120918,3,2012,913,47,47130
8745,31071.13961715,1492.7430522347836,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.941,제16호태풍(산바),0800,20120918,2,2012,915,47,47130
8746,13855.46020462,805.2166732558128,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.557,제16호태풍(산바),0800,20120918,2,2012,910,47,47130
8747,15487.801960985,704.8143102497368,204555,0500,20120917,역류로인한 침수,0.705,제16호태풍(산바),0800,20120918,2,2012,905,47,47130
8748,34836.2627057,824.5164722420672,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,1.218,제16호태풍(산바),0800,20120918,3,2012,898,47,47130
8749,83748.11055357,1791.5405491657425,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.781,제16호태풍(산바),0800,20120918,2,2012,902,47,47130
8750,37117.646166945,890.242026508241,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.975,제16호태풍(산바),0800,20120918,2,2012,893,47,47130
8751,41569.222398565,1018.2617443212154,93913,0500,20120917,형산강물 역류 및 농경지 배수로 협소,0.619,제16호태풍(산바),0800,20120918,2,2012,894,47,47130
8752,104623.449301275,2798.04754252287,311856,1400,20120917,제방붕괴로인한저지대침수,0.81,16호태풍산바로인한침수,1500,20120918,2,2012,980,47,47150
8753,4362.602625565,302.3292311075914,311856,1400,20120917,제방붕괴로인한저지대침수,1.357,16호태풍산바로인한침수,1500,20120918,3,2012,1004,47,47150
8754,182575.50321131,3499.1223226033753,311856,1400,20120917,제방붕괴로인한저지대침수,2.446,16호태풍산바로인한침수,1500,20120918,5,2012,1002,47,47150
8755,30308.556899905,1195.0297531760216,311856,1400,20120917,제방붕괴로인한저지대침수,0.344,16호태풍산바로인한침수,1500,20120918,1,2012,1001,47,47150
8756,10370.576233395,528.677875971166,311856,1400,20120917,제방붕괴로인한저지대침수,0.76,16호태풍산바로인한침수,1500,20120918,2,2012,1011,47,47150
8757,4365.39116399,316.28091701334614,470808,1300,20120917,집중호우,1.182,제16호태풍 산바,1000,20120918,3,2012,676,47,47111
8758,20051.43673709,954.7786819259323,110636,1000,20120917,집중호우,0.403,제16호태풍 산바,1300,20120918,1,2012,701,47,47111
8759,68471.88170206,1218.6349264387525,110636,1000,20120917,집중호우,0.715,제16호태풍 산바,1300,20120918,2,2012,688,47,47111
8760,44562.161548935,1723.7244585005499,110636,1000,20120917,집중호우,0.756,제16호태풍 산바,1300,20120918,2,2012,694,47,47111
8761,15902.47586475,544.7508574796725,110636,1000,20120917,집중호우,0.622,제16호태풍 산바,1300,20120918,2,2012,695,47,47111
8762,9821.03627374,403.49826010759284,110636,1000,20120917,집중호우,0.331,제16호태풍 산바,1300,20120918,1,2012,686,47,47111
